"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_H [A_per_meter]","Mag_H_1 [A_per_meter]","Mag_H_2 [A_per_meter]","Mag_H_3 [A_per_meter]","Mag_H_4 [A_per_meter]","Mag_H_5 [A_per_meter]","Mag_H_6 [A_per_meter]","Mag_H_7 [A_per_meter]","Mag_H_8 [A_per_meter]","Mag_H_9 [A_per_meter]","Mag_H_10 [A_per_meter]","Mag_H_11 [A_per_meter]"
0.001,0,0,0.0027502342739957,0.00825362049403202,0.00270478302421973,0.00895832159734265,0.0027502342739957,0.0028692532913474,0.00270478302421973,0.00282225535186021,0.0028692532913474,0.00867564958802494,0.00825362049403202,0.0027502342739957
0.001,0,0.600004,0.00275519553468851,0.00828271970624187,0.00270963657711396,0.00902957533416701,0.00276972003615302,0.00289505595045047,0.00273042933058993,0.00285253336220919,0.00287750322234377,0.00871037754368704,0.00829281120375107,0.00275626866785647
0.001,0,1.200008,0.00276008580060642,0.00831177944941295,0.0027145041098886,0.00910072706625408,0.00278940145523654,0.0029210843788808,0.00275629022017883,0.00288191082133995,0.00288592144158938,0.00874514164962381,0.00833216881730295,0.00276246734542273
0.001,0,1.800012,0.00276490630047446,0.0083407992772608,0.00271938606004092,0.00914794895105901,0.00280927863941618,0.00294733854406053,0.00278236582644383,0.00291151618718797,0.00288562669257627,0.00877993808826302,0.00837169762322699,0.00276874573988025
0.001,0,2.400016,0.00276965828621398,0.00836977884547179,0.00272428286928038,0.00918432622462447,0.0028293948002487,0.00297381841159446,0.00280865628314298,0.00294134955792727,0.00288203716564826,0.00881476316589175,0.00841140203853991,0.00277496182002546
0.001,0,3.00002,0.00277434303294274,0.00839871791170305,0.00272919498352869,0.00922018395140365,0.00284967223580104,0.00300052394526997,0.00283516172433506,0.00297141103122859,0.00287839325680701,0.00884961331265641,0.00845128660873585,0.00278111482656358
0.001,0,3.600024,0.00277896183897487,0.00842761633558245,0.00273412285291975,0.00925552492960679,0.00287009410709911,0.00302745510705704,0.0028618822843795,0.00300170070425932,0.00287469425839415,0.00888448508256276,0.00849135600778643,0.00278720402661298
0.001,0,4.200028,0.00278351602582087,0.00845647407870864,0.00273906693179969,0.00929035221845954,0.00289066054429242,0.00305461185710832,0.00288881809793644,0.00303221867368356,0.00287093947053917,0.00891937515347586,0.00853161503814066,0.00279322871370529
0.001,0,4.800032,0.0027880069381876,0.0084852912046511,0.00274402767872687,0.00932466913820295,0.00291137167668221,0.003081994153759,0.00291596929996669,0.00306296503566205,0.00286712820115945,0.00895428032712011,0.00857206863072501,0.00279918820778528
0.001,0,5.400036,0.00279243594397833,0.00851406787894997,0.00274900555647185,0.00935847927009362,0.00293222763272146,0.00310960195352693,0.00294333602573174,0.00309393988585226,0.00286325976596023,0.00898919752907924,0.00859701084137188,0.00280508185521099
0.001,0,6.00004,0.00279680443429269,0.00854280436911628,0.00275400103201741,0.00939178645640344,0.00295479769066564,0.00313743521111256,0.0029709184107938,0.00312514331940828,0.00285933348843466,0.00902412380879626,0.00860880053279195,0.0028109090287536
0.001,0,6.600044,0.00280111382342667,0.00857150104463176,0.00275901457655857,0.00942459480041984,0.00298506625052069,0.00316549387939895,0.00299871659101573,0.00315657543098094,0.00285534869986372,0.0090590563395736,0.00862021500843439,0.00281666912759754
0.001,0,7.200048,0.00280536554887266,0.00860015837694896,0.00276404666550255,0.00945690866644561,0.00301555547303933,0.00319377790945178,0.00302673070256108,0.00318712234826516,0.0028513047393163,0.00909575758963224,0.00863124603172268,0.00282236157734042
0.001,0,7.800052,0.00280956107131941,0.00862877693949115,0.00276909777846878,0.00949142712586996,0.00304626628892656,0.00322228725051931,0.00305496088189411,0.00321769025131628,0.00284720095364916,0.00913967906382841,0.00864188562672758,0.00282798582999305
0.001,0,8.400056,0.00281370187465206,0.00865735740765237,0.00277471601279141,0.00952867992150047,0.00307719961752442,0.00325102185003246,0.00308703899272281,0.0032485617909339,0.00284303669750694,0.00918382473354531,0.008652126078167,0.00283354136397946
0.001,0,9.00006,0.00281778946595212,0.00868590055879753,0.00278116950361744,0.00956593894447065,0.00310835636681198,0.00327998165360474,0.00312486261495638,0.0032797369029939,0.00283881133332214,0.00922818662567137,0.00866195993140609,0.00283902768413688
0.001,0,9.600064,0.00282182537549747,0.00871569206421358,0.00278763896938896,0.00960321168326429,0.00313973743340536,0.00330916660503227,0.00316312812124956,0.00331121552886171,0.00283452423131516,0.00927275695219906,0.00867137999245723,0.00284305646612667
0.001,0,10.200068,0.00282581115676235,0.00877158965887662,0.00279412477909563,0.00963335706354808,0.00317134370255772,0.00333857664629378,0.00320183660893983,0.00334299761539236,0.00283017476949426,0.00931752811022507,0.00868037932798002,0.00284465608071555
0.001,0,10.800072,0.00282974838641742,0.0088274342507588,0.00280062730378803,0.00966043487987705,0.00320313916204966,0.00336821171755061,0.00324098916270968,0.00337508311493039,0.00282576233365557,0.00936249268195023,0.00869945864301662,0.00284623736233995
