"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_H [A_per_meter]"
0.001,0,0,0.0360657848215157
0.001,0,0.12003003003003,0.0360320704491824
0.001,0,0.24006006006006,0.0359982806703632
0.001,0,0.36009009009009,0.0359644154512541
0.001,0,0.48012012012012,0.0359304747589238
0.001,0,0.60015015015015,0.0358964585613133
0.001,0,0.72018018018018,0.0358623668272365
0.001,0,0.84021021021021,0.0358281995263795
0.001,0,0.96024024024024,0.035793956629301
0.001,0,1.08027027027027,0.0357596381074322
0.001,0,1.2003003003003,0.035725243933077
0.001,0,1.32033033033033,0.0356907740794116
0.001,0,1.44036036036036,0.0356562285204849
0.001,0,1.56039039039039,0.0356216072312183
0.001,0,1.68042042042042,0.0355869101874055
0.001,0,1.80045045045045,0.0355521373657131
0.001,0,1.92048048048048,0.03551728874368
0.001,0,2.04051051051051,0.0354823642997175
0.001,0,2.16054054054054,0.0354473640131097
0.001,0,2.28057057057057,0.0354122878640132
0.001,0,2.4006006006006,0.0353771358334569
0.001,0,2.52063063063063,0.0353419079033425
0.001,0,2.64066066066066,0.0353045958359452
0.001,0,2.76069069069069,0.0352657011283222
0.001,0,2.88072072072072,0.0352266413827668
0.001,0,3.00075075075075,0.0351874166013606
0.001,0,3.12078078078078,0.0351480267862344
0.001,0,3.24081081081081,0.035108471939568
0.001,0,3.36084084084084,0.0350687520635903
0.001,0,3.48087087087087,0.0350288671605795
0.001,0,3.6009009009009,0.0349888172328627
0.001,0,3.72093093093093,0.0349486022828161
0.001,0,3.84096096096096,0.0349082223128654
0.001,0,3.96099099099099,0.034867677325485
0.001,0,4.08102102102102,0.0348269673231986
0.001,0,4.20105105105105,0.0347860923085789
0.001,0,4.32108108108108,0.0347450522842479
0.001,0,4.44111111111111,0.0347038472528767
0.001,0,4.56114114114114,0.0346624772171853
0.001,0,4.68117117117117,0.0346209421799431
0.001,0,4.8012012012012,0.0345792421439684
0.001,0,4.92123123123123,0.0345373771121288
0.001,0,5.04126126126126,0.0344953470873408
0.001,0,5.16129129129129,0.0344531520725704
0.001,0,5.28132132132132,0.0344107920708322
0.001,0,5.40135135135135,0.0343682670851903
0.001,0,5.52138138138138,0.0343255771187579
0.001,0,5.64141141141141,0.0342827221746971
0.001,0,5.76144144144144,0.0342397022562192
0.001,0,5.88147147147147,0.0341965173665849
0.001,0,6.0015015015015,0.0341531675091036
0.001,0,6.12153153153153,0.0341096526871342
0.001,0,6.24156156156156,0.0340659729040842
0.001,0,6.36159159159159,0.034019477649621
0.001,0,6.48162162162162,0.03397257749357
0.001,0,6.60165165165165,0.0339255133960997
0.001,0,6.72168168168168,0.0338782853523802
0.001,0,6.84171171171171,0.0338308933575306
0.001,0,6.96174174174174,0.0337833374066183
0.001,0,7.08177177177177,0.0337356174946597
0.001,0,7.2018018018018,0.0336877336166194
0.001,0,7.32183183183183,0.033639685767411
0.001,0,7.44186186186186,0.0335914739418963
0.001,0,7.56189189189189,0.0335430981348861
0.001,0,7.68192192192192,0.0334945583411394
0.001,0,7.80195195195195,0.0334458545553641
0.001,0,7.92198198198198,0.0333969867722166
0.001,0,8.04201201201201,0.033347954986302
0.001,0,8.16204204204204,0.0332987591921737
0.001,0,8.28207207207207,0.033249399384334
0.001,0,8.4021021021021,0.0331998755572336
0.001,0,8.52213213213213,0.0331501877052722
0.001,0,8.64216216216216,0.0331003358227976
0.001,0,8.76219219219219,0.0330503199041064
0.001,0,8.88222222222222,0.0330001399434439
0.001,0,9.00225225225225,0.0329497959350038
0.001,0,9.12228228228228,0.0328992878729286
0.001,0,9.24231231231231,0.0328486157513095
0.001,0,9.36234234234234,0.0327977795641858
0.001,0,9.48237237237237,0.0327467793055459
0.001,0,9.6024024024024,0.0326956149693266
0.001,0,9.72243243243243,0.0326442865494132
0.001,0,9.84246246246246,0.0325913982409884
0.001,0,9.96249249249249,0.0325382163599318
0.001,0,10.0825225225225,0.0324848867765328
0.001,0,10.2025525525526,0.0324314094919588
0.001,0,10.3225825825826,0.0323777845073105
0.001,0,10.4426126126126,0.0323240118236222
0.001,0,10.5626426426426,0.0322700914418616
0.001,0,10.6826726726727,0.0322160233629304
0.001,0,10.8027027027027,0.0321618075876634
0.001,0,10.9227327327327,0.032107444116829
0.001,0,11.0427627627628,0.0320529329511292
0.001,0,11.1627927927928,0.0319982740911997
0.001,0,11.2828228228228,0.0319434675376096
0.001,0,11.4028528528529,0.0318885132908613
0.001,0,11.5228828828829,0.0318334113513913
0.001,0,11.6429129129129,0.0317781617195689
0.001,0,11.7629429429429,0.0317227643956978
0.001,0,11.882972972973,0.0316672193800146
0.001,0,12.003003003003,0.0316115266726895
0.001,0,12.123033033033,0.0315556862738265
0.001,0,12.2430630630631,0.031499698183463
0.001,0,12.3630930930931,0.0314435624015701
0.001,0,12.4831231231231,0.0313872789280521
0.001,0,12.6031531531532,0.0313308477627471
0.001,0,12.7231831831832,0.0312742689054267
0.001,0,12.8432132132132,0.031217141596605
0.001,0,12.9632432432432,0.0311589250760816
0.001,0,13.0832732732733,0.0311004949331035
0.001,0,13.2033033033033,0.0310418484597944
0.001,0,13.3233333333333,0.0309831467899036
0.001,0,13.4433633633634,0.0309243898991432
0.001,0,13.5633933933934,0.0308655777636076
0.001,0,13.6834234234234,0.0308067103597747
0.001,0,13.8034534534535,0.0307477876645044
0.001,0,13.9234834834835,0.0306888096550398
0.001,0,14.0435135135135,0.0306297763090069
0.001,0,14.1635435435435,0.030570687604414
0.001,0,14.2835735735736,0.0305115435196526
0.001,0,14.4036036036036,0.030452344033497
0.001,0,14.5236336336336,0.0303930891251039
0.001,0,14.6436636636637,0.0303337787740131
0.001,0,14.7636936936937,0.0302744129601469
0.001,0,14.8837237237237,0.0302149916638108
0.001,0,15.0037537537538,0.0301546732723959
0.001,0,15.1237837837838,0.0300937669578719
0.001,0,15.2438138138138,0.0300328444712656
0.001,0,15.3638438438438,0.0299719058102534
0.001,0,15.4838738738739,0.0299109509725181
0.001,0,15.6039039039039,0.0298499799557486
0.001,0,15.7239339339339,0.0297889927576402
0.001,0,15.843963963964,0.0297279893758946
0.001,0,15.963993993994,0.0296669698082195
0.001,0,16.084024024024,0.0296059340523291
0.001,0,16.2040540540541,0.0295448821059438
0.001,0,16.3240840840841,0.0294838139667903
0.001,0,16.4441141141141,0.0294227296326015
0.001,0,16.5641441441441,0.0293616291011168
0.001,0,16.6841741741742,0.0293005123700816
0.001,0,16.8042042042042,0.0292393794372477
0.001,0,16.9242342342342,0.0291782303003733
